n,planta,especie,tratamiento,dato,fruitset,seedset2
1,oro225,or,ag,1,0,0
2,oro225,or,en,1,1,321
3,oro225,or,oc,1,0,0
4,oro225,or,cn,1,1,243
5,oro225,or,os,1,0,0
6,oro225,or,ot,1,0,0
7,r47,or,ag,1,0,0
8,r47,or,en,1,1,68
9,r47,or,oc,1,0,0
10,r47,or,cn,1,0,0
11,r47,or,os,1,0,0
12,r47,or,ot,1,0,0
13,oro102,or,ag,1,0,0
14,oro102,or,en,1,1,472
15,oro102,or,oc,1,0,0
16,oro102,or,cn,1,1,423
17,oro102,or,os,1,0,0
18,oro102,or,ot,1,0,0
19,r56,or,ag,1,0,0
20,r56,or,en,1,1,349
21,r56,or,oc,1,0,0
22,r56,or,cn,1,1,117
23,r56,or,os,1,0,0
24,r63,or,en,1,1,321
25,r63,or,oc,1,0,0
26,r63,or,os,1,1,81
27,oro241,or,ag,1,0,0
28,oro241,or,en,1,1,449
29,oro241,or,oc,1,0,0
30,oro241,or,cn,1,1,332
31,oro241,or,os,1,1,0
32,oro241,or,ot,1,0,0
33,oro240,or,ag,1,0,0
34,oro240,or,en,1,1,192
35,oro240,or,oc,1,0,0
36,oro240,or,cn,1,1,180
37,oro240,or,os,1,1,0
38,oro240,or,ot,1,0,0
39,r51,or,ag,1,0,0
40,r51,or,en,1,1,238
41,r51,or,oc,1,0,0
42,r51,or,cn,1,1,304
43,r51,or,os,1,0,0
44,oro219,or,ag,1,0,0
45,oro219,or,en,1,1,
46,oro219,or,oc,1,0,0
47,oro219,or,cn,1,1,125
48,oro219,or,os,1,0,0
49,oro219,or,ot,1,0,0
50,r50,or,ag,1,0,0
51,r50,or,en,1,1,578
52,r50,or,en,1,1,118
53,r50,or,oc,1,0,0
54,r50,or,cn,1,0,0
55,r50,or,cn,1,1,223
56,r50,or,os,1,0,0
57,r50,or,ot,1,0,0
58,r40-2,or,ag,1,0,0
59,r40-2,or,en,1,1,320
60,r40-2,or,oc,1,0,0
61,r40-2,or,cn,1,1,337
62,r40-2,or,os,1,0,0
63,r40-2,or,ot,1,0,0
64,r2,or,ag,1,0,0
65,r2,or,en,1,1,
66,r2,or,oc,1,0,0
67,r2,or,cn,1,1,450
68,r2,or,os,1,0,0
69,r2,or,ot,1,0,0
70,r42,or,ag,1,0,0
71,r42,or,en,1,1,183
72,r42,or,oc,1,0,0
73,r42,or,cn,1,1,234
74,r42,or,os,1,0,0
75,r42,or,ot,1,0,0
76,oro224,or,ag,1,0,0
77,oro224,or,en,1,1,418
78,oro224,or,oc,1,1,408
79,oro224,or,cn,1,1,457
80,oro224,or,os,1,0,0
81,oro224,or,ot,1,0,0
82,c51',oc,ag,1,0,0
83,c51',oc,au,1,0,0
84,c17,oc,en,1,1,132
85,c51',oc,or,1,0,0
86,c51',oc,os,1,0,0
87,c19,oc,en,1,1,117
88,c53,oc,or,1,0,0
89,c21,oc,en,1,1,28
90,c21,oc,or,1,0,0
91,c22,oc,en,1,1,
92,r22,or,cn,1,0,0
93,r22,or,oc,1,0,0
94,r28,or,os,1,0,0
95,r28,or,ot,1,0,0
96,r28,or,oc,1,0,0
97,r28,or,cn,1,1,60
98,r28,or,os,1,1,10
99,r28,or,ot,1,0,0
100,r65,or,ag,1,0,0
101,r65,or,en,1,1,280
102,r65,or,oc,1,0,0
103,r65,or,cn,1,1,129
104,r65,or,os,1,0,0
105,r65,or,ot,1,0,0
106,r66,or,ag,1,0,0
107,r66,or,en,1,1,124
108,r66,or,oc,1,0,0
109,r66,or,cn,1,1,120
110,r66,or,os,1,0,0
111,r66,or,ot,1,0,0
112,oro120,or,ag,1,0,0
113,oro120,or,en,1,1,
114,oro120,or,oc,1,0,0
115,oro120,or,cn,1,1,415
116,oro120,or,os,1,1,3
117,oro120,or,ot,1,0,0
118,oro40,or,en,1,1,350
119,oro40,or,oc,1,0,0
120,oro40,or,cn,1,1,367
121,oro40,or,os,1,0,0
122,oro40,or,ot,1,0,0
123,oro94,or,en,1,1,
124,r70,or,ag,1,0,0
125,r70,or,en,1,1,
126,r70,or,oc,1,0,0
127,r70,or,cn,1,1,
128,r70,or,os,1,0,0
129,r70,or,ot,1,0,0
